id,text,intent,escalation_label,difficulty,annotation_note,human_verified,suggested_intent
1,@AmazonHelp Your cc says we can't do anything as d packages are delivered.U delivered it to wrong person.U r @ fault.I have nothng to gift my relatives,product_issue,ESCALATE,hard,,true,order_status
2,@AmazonHelp Order No 408-7356679-2151563 dt-6/10/17 Received broken wall clock.,product_issue,ESCALATE,easy,,true,order_status
3,@AmazonHelp I was just notified that my package was lost in shipping. How Can I get a refund for my order?,refund_return,ESCALATE,hard,,true,order_status
4,@AmazonHelp Ghatia ...your courier facility manager disconnected my call witjout listening to my issue and delivery boy is refusing to deliver my order,product_issue,ESCALATE,hard,,true,order_status
5,@AmazonHelp Just that there was a problem and our order was cancelled. As we thought we had tickets we stopped trying so have ended up with none now which is very annoying.,cancellation,ESCALATE,hard,,true,order_status
6,"@AmazonHelp Order# 407-8082045-4793950
Arriving:
Thursday, November 16 - 
Monday, November 20",order_status,AUTO_HANDLE,easy,,true,order_status
7,@AmazonHelp I have still not got the exact location and the confirmed delivery date of my package!!! Terrible u guys are!!,order_status,ESCALATE,hard,,true,order_status
8,"Hey @AmazonHelp, who’s the carrier on my order tracking, listed as “AMZL”?",order_status,AUTO_HANDLE,easy,,true,order_status
9,@AmazonHelp Earlier today my package said it would be arriving today by 8pm. I checked later and it said sorry it wasn't delivered. Nothing else.,order_status,ESCALATE,hard,,true,order_status
10,@AmazonHelp I have 2 orders that have been on the brink of delivery (out for delivery)  for 3 days and in the local area for 4 days.  Wondering what the problem is in Niagara Falls NY.,order_status,ESCALATE,hard,,true,order_status
11,@AmazonHelp As usual @AmazonHelp quickly solved my issue but the question remains why is this always an issue? The packages can be left unattened at my door at 8:45p but not at 4:00p. Makes no sense but truly appreciate the quick response.  Guess the system is a work in progress...,complaint_frustration,AUTO_HANDLE,hard,,true,order_status
12,@AmazonHelp packages a month.  I went to the cops and there is nothing to file.  A crime has to happen to file a police report.  Y'all delivering a,complaint_frustration,ESCALATE,hard,,true,order_status
13,"@AmazonHelp Not that you are interested, but after chasing again I've been told my order isnt coming today, but asap tomorrow...  🙄🙄🙄",order_status,ESCALATE,hard,,true,order_status
14,@AmazonHelp So then your customer support lied when they promised delivery by tomorrow? Could I just get a clear answer instead of 5 different ones?,complaint_frustration,ESCALATE,hard,,true,order_status
15,Ordered 2kg...received oni 1kg..Amazon#diwalisale#cheated#worst diwali gift ever from amazon.disappointed 😡@115821 @AmazonHelp @74901 https://t.co/rrlILXtSGS,product_issue,ESCALATE,easy,,true,order_status
16,@AmazonHelp when u  pre-order a game and it says it won’t arrive until a week after the release date but amazon take the money for it anyway https://t.co/so4dsBX5Pd,billing_payment,ESCALATE,hard,,true,order_status
17,@AmazonHelp Yeah received an email for three items to be refunded all processed on the same day. One refund has already been received (received over the weekend). Stuff still states delivery date of November 9 but provides option to start a refund or cancellation.,refund_return,ESCALATE,hard,,true,order_status
18,"@AmazonHelp we have no any call receive from your end for my order
Please do the action for order or refund my payment.",refund_return,ESCALATE,hard,,true,order_status
19,@AmazonHelp The thing is i had recieved the refund but the order has not been picked up what to do with the stuff should i keep it? Or what to do?,refund_return,ESCALATE,hard,,true,order_status
20,@AmazonHelp Placed order 2/11 prime for delivery 3/11 says it went to wrong courier centre &amp; now MAY not arrive till 8/11 that's not next day delivery!,order_status,ESCALATE,hard,,true,order_status
21,@AmazonHelp Have now placed my order for a new battery to arrive at my designated delivery address. What does Standard Delivery mean in the UK?,order_status,AUTO_HANDLE,hard,,true,order_status
22,@AmazonHelp The order should have arrived on the 18th.  Package has been sitting in Seattle for two days.  Seattle is only 15 minutes away.,order_status,ESCALATE,hard,,true,order_status
23,"@AmazonHelp  I wanted to order phone with another address , but I forgot to mentioned that address and ordered ..Could u help me to Change order ? It will be great if u can do ..I spoke to cc but they said not available now change",cancellation,ESCALATE,hard,,true,order_status
24,"@AmazonHelp I paid for express delivery and my item not only has not arrived, but DPD driver said refused and returned to depot while I was home waiting",order_status,ESCALATE,hard,,true,order_status
25,"@AmazonHelp Still waiting on my orders 026-1188582-3067513

205-5647747-5889146",order_status,ESCALATE,easy,,true,order_status
26,@AmazonHelp @AmazonHelp and what  about this one 👉order id #4__credit_card__,billing_payment,ESCALATE,easy,,true,order_status
27,"@AmazonHelp I sent an email to cust service. It's beyond the 30 day return window, another item I ordered from you guys was faulty. Spent a few weeks replacing and reordering only to find out that yet another item is DOA. Someone is replacing this or my credit card company will deal with it.",order_status,AUTO_HANDLE,hard,,false,order_status
28,"@AmazonHelp Look at above screen shot how many times does a customer will contact for a single order?
Don't you value our time? 3 times i contacted to u",order_status,AUTO_HANDLE,hard,,false,order_status
29,@AmazonHelp Three times for the same order???? And I’ve already been refunded for the original charge.  I’m still out 51.98. When will these reverse?,refund_return,AUTO_HANDLE,hard,,false,refund_return
30,Yay score one for me heaven smiled I got my refund. Thank you @115821 @AmazonHelp for making it right.,refund_return,AUTO_HANDLE,easy,,false,refund_return
31,@AmazonHelp when my issue is likely to get closed 3 refunds are pending,refund_return,AUTO_HANDLE,easy,,false,refund_return
32,"@AmazonHelp So juicer was due 4 del Mon 27th then Sat 25th, then Mon again, then tues, then Wed &amp; now today.  Whats the betting I don't get it today? Are Amzn going to refund me 4 all the fruit &amp;veg that I had bought especially? Seems like being a prime cust doesnt count 4 much",refund_return,AUTO_HANDLE,hard,,false,refund_return
33,@AmazonHelp @115850 @115821 So Amazon india has cheated me and now not providing me the refund. Bloody idiots @123288,refund_return,AUTO_HANDLE,easy,,false,refund_return
34,"@AmazonHelp My order was picked up, then the refund was put on halt as youll said, you have empty box, and now after 20 days, I am been told, I did not send correct product. This is clear fraud, and I need someone to look into this.",refund_return,AUTO_HANDLE,hard,,false,refund_return
35,"@AmazonHelp I've called 7 times since Sunday. Your ppl just offer apologies, no explanations, and offer a refund. I didn't want a refund, I wanted my stuff. A refund is useless if the item I need to buy is no longer available.",refund_return,AUTO_HANDLE,hard,,false,refund_return
36,@AmazonHelp One already shows refund processing; the other USPS...but I think all were the same.,refund_return,AUTO_HANDLE,medium,,false,refund_return
37,@115830 @AmazonHelp Live Chat has to be the worst customer service I have ever received! Item hasn’t turned up after weeks now they have refunded the wrong amount! Seriously!? 🙈🙈🙈,refund_return,AUTO_HANDLE,hard,,false,refund_return
38,"@AmazonHelp Basically , y’all haven’t refunded my money yet and im pissed so that’s that .",refund_return,AUTO_HANDLE,easy,,false,refund_return
39,"@AmazonHelp my order has been picked since 24th and the product has still not reached your warehouse and because of that your team is not refunding my money. Its been 18 days now and the service is just pathetic, i am just given fake dates.",refund_return,AUTO_HANDLE,hard,,false,refund_return
40,@AmazonHelp Okeydokie. Will do. *fingers crossed* Tomorrow makes 9 days since I returned the items...,refund_return,AUTO_HANDLE,easy,,false,refund_return
41,"@AmazonHelp Thanks. The associate processed the refund anyway. I appreciate it. Next time, I'd prefer to get a receipt when I drop off the item!",refund_return,AUTO_HANDLE,hard,,false,refund_return
42,@AmazonHelp I need missing part tomorrow - can't afford to wait until you've received this one to send replacement or wait 30 days for refund at £175!,refund_return,AUTO_HANDLE,hard,,false,refund_return
43,@AmazonHelp I paid extra postage to guarantee delivery of my order yesterday but only half arrived on time. Can I get a refund on postage?,refund_return,AUTO_HANDLE,hard,,false,refund_return
44,@AmazonHelp I had a delivery scheduled today that the driver said they couldn’t complete. I called logistics at 11:30 AM today and they said delivery would be reattempted after 4 PM. That never happened and the order was returned to the hub site.,refund_return,AUTO_HANDLE,hard,,false,refund_return
45,"@AmazonHelp If I had received a refund on my account as you have stated, I wouldn't be writing to complain would I? Nothing has been refunded!",refund_return,AUTO_HANDLE,hard,,false,refund_return
46,@AmazonHelp Already processed to return dropping it off stage sorting office Saturday morning,refund_return,AUTO_HANDLE,easy,,false,refund_return
